Payroll type,Check date,Amount,Period Start,Period End,Schedule,Pay run date and time (ET)
Regular,2/25/2026,"$25,123.34",2/2/2026,2/15/2026,Biweekly,2/22/2026 16:44
Regular,2/11/2026,"$25,123.32",1/19/2026,2/1/2026,Biweekly,2/5/2026 21:51
Regular,1/28/2026,"$25,123.32",1/5/2026,1/18/2026,Biweekly,1/23/2026 21:02
Regular,1/14/2026,"$25,338.23",12/22/2025,1/4/2026,Biweekly,1/10/2026 15:49
Regular,12/31/2025,"$25,123.32",12/8/2025,12/21/2025,Biweekly,12/24/2025 20:43
Regular,12/19/2025,"$25,123.32",11/24/2025,12/7/2025,Biweekly,12/17/2025 18:52
Regular,12/5/2025,"$25,123.32",11/10/2025,11/23/2025,Biweekly,11/30/2025 22:00
Regular,11/19/2025,"$25,340.21",10/27/2025,11/9/2025,Biweekly,11/14/2025 15:28
Off-cycle,11/5/2025,"$1,200.00",10/13/2025,10/26/2025,Biweekly,11/3/2025 19:46
Regular,11/5/2025,"$25,123.32",10/13/2025,10/26/2025,Biweekly,10/28/2025 23:30
Off-cycle,10/22/2025,"$1,244.32",9/29/2025,10/12/2025,Biweekly,10/21/2025 0:52
Regular,10/22/2025,"$25,317.15",9/29/2025,10/12/2025,Biweekly,10/15/2025 15:55
Regular,10/8/2025,"$25,123.32",9/15/2025,9/28/2025,Biweekly,9/29/2025 16:40
Regular,9/24/2025,"$25,123.32",9/1/2025,9/14/2025,Biweekly,9/16/2025 17:25
Off-cycle,9/10/2025,"$1,191.22",8/18/2025,8/31/2025,Biweekly,9/9/2025 13:16
Regular,9/10/2025,"$25,123.32",8/18/2025,8/31/2025,Biweekly,9/1/2025 15:15
Regular,8/27/2025,"$25,247.23",8/4/2025,8/17/2025,Biweekly,8/18/2025 17:41
Off-cycle,8/12/2025,$400.22,7/21/2025,8/3/2025,Biweekly,8/12/2025 15:23
Regular,8/13/2025,"$24,213.23",7/21/2025,8/3/2025,Biweekly,8/7/2025 16:09
Regular,7/30/2025,"$25,123.32",7/7/2025,7/20/2025,Biweekly,7/22/2025 19:50
Off-cycle,7/16/2025,"$1,113.23",6/23/2025,7/6/2025,Biweekly,7/13/2025 14:23
Regular,7/16/2025,"$25,338.22",6/23/2025,7/6/2025,Biweekly,7/8/2025 14:11
Regular,7/2/2025,"$24,123.32",6/9/2025,6/22/2025,Biweekly,6/24/2025 15:35
Regular,6/18/2025,"$25,123.32",5/26/2025,6/8/2025,Biweekly,6/9/2025 18:38
Off-cycle,6/16/2025,"$1,213.12",5/26/2025,6/8/2025,Biweekly,6/2/2025 13:17
Regular,6/4/2025,"$25,123.32",5/12/2025,5/25/2025,Biweekly,5/28/2025 17:08
Regular,5/21/2025,"$24,453.22",4/28/2025,5/11/2025,Biweekly,5/13/2025 18:50
Off-cycle,5/1/2025,$756.43,4/14/2025,4/27/2025,Biweekly,4/30/2025 12:44
Regular,5/7/2025,"$25,338.23",4/14/2025,4/27/2025,Biweekly,4/30/2025 16:03
Regular,4/23/2025,"$25,123.32",3/31/2025,4/13/2025,Biweekly,4/16/2025 19:35
Regular,4/9/2025,"$25,123.32",3/17/2025,3/30/2025,Biweekly,4/1/2025 16:43
Off-cycle,3/26/2025,"$2,252.12",3/3/2025,3/16/2025,Biweekly,3/25/2025 15:53
Off-cycle,3/26/2025,$13.23,3/3/2025,3/16/2025,Biweekly,3/25/2025 15:51
Regular,3/26/2025,"$15,123.32",3/3/2025,3/16/2025,Biweekly,3/18/2025 18:11
Regular,3/12/2025,"$25,313.22",2/17/2025,3/2/2025,Biweekly,3/7/2025 20:58
Regular,2/26/2025,"$17,123.32",2/3/2025,2/16/2025,Biweekly,2/24/2025 23:16
Regular,12/26/2024,"$1,555.23",11/11/2024,11/24/2024,Semi-monthly,12/24/2024 19:16
Regular,1/26/2025,"$6,338.22",1/1/2025,1/15/2025,Semi-monthly,1/21/2025 16:27
Regular,1/11/2025,"$6,338.22",12/16/2024,12/31/2024,Semi-monthly,1/6/2025 19:46
Regular,12/26/2024,"$6,338.22",12/1/2024,12/15/2024,Semi-monthly,12/24/2024 19:13
Regular,12/10/2024,"$6,338.22",11/16/2024,11/30/2024,Semi-monthly,12/5/2024 17:52
Regular,11/25/2024,"$6,238.22",11/1/2024,11/15/2024,Semi-monthly,11/20/2024 14:53
